dataset_id,image_id,annotator_id,caption,train
open_images,994e9a983fae70ec,66,In this picture we can see chicken curry in the black pan.,True
open_images,c02e1862b7c467d4,105,"In this image we can see some group of persons sitting in trireme is off white color which is moving on water and in the background of the image there are some houses, trees and top of the image there is cloudy sky.",True
open_images,09d8bfa5981ef2e3,49,In the image we can see in front there is a wine glass in which there is a reflection of trees and a river.,True
open_images,196ac908a7de477d,26,"I see this is an animation picture and there are 3 men who are sitting on the couch and a chair and there are tables in front of them on which there are cups. In the background I see a lamp, wall and a plant.",True
open_images,362dbb708b12ba47,40,In this image we can see a building. Bottom of the image plants are there. Left and top of the image trees are present.,True
open_images,66fbce99749752ba,4,In the foreground I can see a bird on grass. In the background I can see trees and a building. This image is taken may be during a day.,True
open_images,76d25e61276ff884,114,In this picture I can see few trees at the bottom. I can see there are clouds in the sky. I can see hills in the middle.,True
open_images,eb8381be6a6c96f5,59,"In this image we can see statue, pedestal, trees and sky.",True
open_images,4dcb550eadfbd95a,55,"In this image, we can see right side, there is a chair. Left side, there is a couch. So many photo frames are on the wall. There is a plant at the middle of the image. Chairs, table. Few items are placed on it. Here there is cloth, lamp and cushions at the bottom. In the bottom, floor mat, table and dog here. On right side background, we can see glass window, plants, fencing,water and some buildings.",True
open_images,5e2f17b2421cbd15,36,"In this image there are musical drums, rods and objects. In the background of the image it is blurry. ",True
open_images,dc0d73505e4a6c13,8,In this image we can see people. There are mics. In the background there is a curtain and we can see a rod.,True
open_images,01e9bca37c114311,78,"In this image i can see 3 persons wearing blazers standing and holding musical instruments in their hands, I can see a stand in front of them holding few papers and in the background i can see a black curtain.",False
open_images,2c41cc1bc6c01add,4,"In the foreground I can see a woman is standing on the road. In the background I can see grass, fence, tents, trees and a woman. This image is taken may be near the park during a day.",True
open_images,e58f78530aa4a8bd,28,There are texts and drawings on the white color board. This board is attached to the white wall.,True
open_images,e840b3d2b992fbc5,11,"In this image we can see a car on the road, there are some trees, buildings and the fence.",True
